SpT;SpC
Eptesicus nilssonii;Nyctalus leisleri
Eptesicus nilssonii;Eptesicus serotinus
Eptesicus nilssonii;Hypsugo savii
Eptesicus nilssonii;Vespertilio murinus
Eptesicus serotinus;Vespertilio murinus
Eptesicus serotinus;Nyctalus leisleri
Myotis alcathoe;Myotis emarginatus
Myotis bechsteinii;Myotis nattereri
Myotis bechsteinii;Myotis myotis
Myotis bechsteinii;Myotis blythii
Myotis bechsteinii;Myotis daubentonii
Myotis bechsteinii;Myotis mystacinus
Myotis bechsteinii;Myotis brandtii
Myotis bechsteinii;Myotis escalerai
Myotis bechsteinii;Myotis emarginatus
Myotis bechsteinii;Myotis punicus
Myotis blythii;Myotis punicus
Myotis blythii;Myotis myotis
Myotis capaccinii;Myotis daubentonii
Myotis capaccinii;Myotis mystacinus
Myotis capaccinii;Myotis daubentonii
Myotis emarginatus;Myotis alcathoe
Myotis emarginatus;Myotis mystacinus
Myotis emarginatus;Myotis bechsteinii
Myotis emarginatus;Myotis brandtii
Myotis escalerai;Myotis nattereri
Myotis mystacinus;Myotis emarginatus
Myotis mystacinus;Myotis capaccinii
Myotis mystacinus;Myotis brandtii
Myotis brandtii;Myotis emarginatus
Myotis brandtii;Myotis capaccinii
Myotis brandtii;Myotis mystacinus
Myotis brandtii;Myotis daubentonii
Myotis brandtii;Myotis bechsteinii
Myotis myotis;Myotis blythii
Myotis myotis;Myotis punicus
Nyctalus lasiopterus;Nyctalus noctula
Nyctalus lasiopterus;Tadarida teniotis
Pipistrellus kuhlii;Pipistrellus nathusii
Hypsugo savii;Pipistrellus kuhlii
Pipistrellus nathusii;Pipistrellus kuhlii
Plecotus auritus;Plecotus austriacus
Plecotus auritus;Plecotus macrobullaris
Plecotus austriacus;Plecotus macrobullaris
Plecotus austriacus;Plecotus auritus
Plecotus macrobullaris;Plecotus auritus
Plecotus macrobullaris;Plecotus austriacus
Rhinolophus euryale;Rhinolophus hipposideros
Tadarida teniotis;Nyctalus leisleri
Tadarida teniotis;Nyctalus lasiopterus
Nyctalus leisleri;Eptesicus serotinus
Vespertilio murinus;Nyctalus leisleri
Vespertilio murinus;Eptesicus serotinus
