species,weight
noise,27983319
Leppun,8308006
Tetvir,7359234
Pippip,6532748
Phogri,3436036
Phanan,2430490
Testes,1972411
Pipkuh,1929259
Rusnit,1720517
piaf,1173742
Rhifer,973474
Plaalb,759146
Urosp,551535
Pippyg,514462
Plaint,504619
Cyrscu,474499
Epheph,445817
Yerray,397660
Nyclei,360387
Eptser,350601
Barfis,272417
Myodau,251845
Myonat,248122
Pipnat,196245
Barbar,187977
Isopyr,155954
Plaaff,151269
Nycnoc,146652
Rhihip,117569
Hypsav,94991
Myomys,86050
Confus,83338
Rhasp,71227
Tadten,63736
Minsch,61815
Roeroe,53633
Myoema,48890
Myocap,45149
Sepsep,38051
Pleaus,36652
amph,31142
Eptnil,30383
Ptecor,27830
Lamsp.,26057
Antsp,25427
Ratnor,24739
Cympud,22798
Decalb,19938
Plasab,18418
Eupsp,14948
Tyllil,11267
Plafal,10366
Phafal,10203
Inssp7,8971
MyoGT,7662
Rhieur,6452
Mussp,6339
Pleaur,5914
Myoalc,5624
Metbra,5340
Tetarg,4202
Antsor,3767
Pteger,3379
mamm,3337
Mimasp,2658
Phofem,2553
Plemac,2192
Nyclas,2033
Antped,1585
Micagr,1123
Tetcan,1008
Aposp,583
gril,581
Rhaann,560
Yerbey,560
Insp10,409
Yposp,244
Myobec,102
Inssp5,20
Inssp8,5
Insp12,3
Tetpyg,2
Thycor,1
Vesmur,1
criq,0
Insp11,0
Myodas,0
Myogla,0
